,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Bosnia and Herzegovina,0,0.1089,0.2465,0.3554,8.7152,0.2576,9.9443,10.2019,4.6409,0.2718,4.0495,0.0822,11.6394,37.5645,49.2039,0.0585,12.4319,1.8165,14.3069,0.0963,0.4205,0.5168,1.6391,0,1.6391,19.4,<2.5,2,"252,758","11,495",0.077,0.004,3281000,%
Botswana,0,0.3056,0.3551,0.6607,11.432,0.1402,11.0217,11.1619,2.8465,0.2729,4.7614,0.015,4.0558,35.5491,39.6049,0.3402,14.4486,2.284,17.0728,0.2019,1.0065,1.2084,4.7857,9.00E-04,4.7866,16.1,26.4,26.4,"186,594","2,406",0.081,0.001,2317000,%
Brazil,0,0.1512,0.5899,0.7411,8.4292,0.5042,9.3416,9.8458,6.0936,0.9254,3.3959,0.0513,3.307,32.6537,35.9607,0.2803,17.347,6.4784,24.1057,0.7093,1.2823,1.9916,2.7755,1.0111,3.7866,22.3,<2.5,2,"21,804,094","607,694",0.103,0.003,211812000,%
Bulgaria,0.0103,0.3058,0.4845,0.8006,8.875,0.5924,11.5992,12.1916,3.9812,0.1512,1.8576,0.0797,6.2037,32.7435,38.9472,0.2488,17.2483,4.0073,21.5044,0.345,0.7085,1.0535,2.3627,0,2.3627,27.4,3.6,3.6,"601,035","23,918",0.087,0.003,6927000,%
Burkina Faso,0,0.1664,0.7077,0.8741,21.2005,0.2406,2.3195,2.5601,0.6596,1.4294,0.9723,0.0712,1.5036,45.3359,46.8395,0.0231,4.6611,1.2029,5.8871,1.8664,0.9503,2.8167,1.1287,0,1.1287,4.5,20,20,"14,793",214,0.001,0,20903000,%
Cabo Verde,0.0029,0.105,1.0598,1.1677,14.7961,0.4602,5.0192,5.4794,4.6402,1.139,3.843,0.0258,6.6338,40.2437,46.8775,0.0363,9.7559,3.0725,12.8647,0.5394,0.9471,1.4865,2.1396,0,2.1396,10.6,12.6,12.6,"38,207",349,0.069,0.001,556000,%
Cambodia,0,0.1211,4.2369,4.358,24.8906,0.131,0.3285,0.4595,2.3184,0.4903,3.0519,0.0238,3.0072,43.9195,46.9267,0.0377,6.08,1.2247,7.3424,0.79,0.2511,1.0411,2.9923,0.8367,3.829,3.5,16.4,16.4,"118,427","2,781",0.008,0,15497000,%
Cameroon,0,0.0673,1.3206,1.3879,10.3112,0.0256,0.6289,0.6545,7.2151,1.4734,11.3883,0.1324,8.859,47.067,55.926,0.0146,2.933,0.876,3.8236,0.8658,0.6398,1.5056,0.6479,0,0.6479,9.5,9.9,9.9,"102,499","1,686",0.004,0,26598000,%
Canada,0.006,0.0097,1.2148,1.2305,6.4236,0.7668,8.7596,9.5264,5.0692,0.6304,3.494,0.1439,5.4961,33.9551,39.4512,0.8084,16.0365,4.4707,21.3156,0.4334,1.3441,1.7775,5.0237,0,5.0237,31.3,<2.5,2,"1,721,419","29,016",0.045,0.001,38190000,%
Central African Republic,0,0.4338,0.8041,1.2379,3.8844,0.051,1.7581,1.8091,4.5543,0.8936,27.7128,0,1.9214,43.0942,45.0156,0.1228,6.9032,3.7346,10.7606,0.697,0.724,1.421,0.7022,0,0.7022,6.3,59.6,59.6,"11,518",100,0.002,0,4830000,%
Chad,0,1.2256,1.0451,2.2707,21.6017,0.0495,5.9037,5.9532,1.0669,1.4133,6.991,0,0.9141,37.7189,38.633,0.2023,12.2804,3.8543,16.337,3.0304,0.4556,3.486,1.3449,0,1.3449,4.8,37.5,37.5,"5,069",174,0,0,16877000,%
Chile,0.0155,0.0525,0.8711,0.9391,10.8579,0.7757,6.9966,7.7723,3.9109,0.2677,4.7183,0.119,5.3092,34.9584,40.2676,0.1782,15.0394,6.1492,21.3668,0.2588,0.5435,0.8023,3.5582,0,3.5582,28.8,2.7,2.7,"1,692,877","37,743",0.087,0.002,19470000,%
China,0.0542,0.8643,3.3435,4.262,8.9298,1.2059,1.7962,3.0021,4.2451,0.0704,1.9016,0.2665,13.099,36.5744,49.6734,0.0866,13.424,6.0732,19.5838,0.4401,0.579,1.0191,3.1065,0.0253,3.1318,6.6,8.5,8.5,"109,574","4,849",0,0,1402385000,%
Colombia,0,0.1729,0.4552,0.6281,8.1055,0.8132,7.7443,8.5575,11.3276,0.3503,5.0309,0.0947,3.0981,37.1774,40.2755,0.0814,12.821,3.554,16.4564,0.2276,0.9454,1.173,4.7518,0.028,4.7798,22.1,4.8,4.8,"5,000,677","127,258",0.101,0.003,49444000,%
Congo,0,0.3044,2.3945,2.6989,6.2564,0.0457,0.0963,0.142,4.0015,0.2408,23.2457,0.0016,2.552,43.8709,46.4229,0.0122,6.1258,3.2735,9.4115,0.3632,0.67,1.0332,1.3907,0,1.3907,8.4,40.3,40.3,"17,323",258,0.003,0,5518000,%
Costa Rica,7.00E-04,0.1161,1.3317,1.4485,8.6611,0.7582,12.4535,13.2117,9.5203,0.8354,1.5676,0.0397,2.9837,31.3238,34.3075,0.1529,18.677,3.8631,22.693,0.2914,1.4363,1.7277,3.9006,0,3.9006,25.7,4.8,4.8,"559,698","7,029",0.11,0.001,5111000,%
Cote d'Ivoire,0,0.2648,1.3914,1.6562,11.4585,0.1587,0.1285,0.2872,4.8741,0.1727,23.308,0.5443,2.8098,47.0806,49.8904,0.0132,2.9144,0.9586,3.8862,0.6055,0.8656,1.4711,0.7859,0,0.7859,9,19,19,"61,292",695,0.002,0,26175000,%
Croatia,5.00E-04,0.1889,0.9196,1.109,5.7726,0.3955,11.8824,12.2779,3.4094,0.0373,1.8078,0.0761,12.5188,32.6838,45.2026,0.2296,17.311,3.6945,21.2351,0.3494,0.3808,0.7302,3.088,0,3.088,27.1,<2.5,2,"467,029","9,198",0.116,0.002,4020000,%
Cuba,0,0.1456,0.3368,0.4824,9.9309,0.5263,5.5971,6.1234,9.0347,1.1336,5.1555,6.00E-04,8.374,39.9895,48.3635,0.1202,10.0096,3.2837,13.4135,0.5346,0.4535,0.9881,3.1617,0,3.1617,26.7,<2.5,2,"951,325","8,230",0.084,0.001,11281000,%
Cyprus,0.0015,0.1584,1.8209,1.9808,7.0646,0.5746,8.2744,8.849,6.198,0.211,1.7705,0.1781,7.3888,33.8191,41.2079,0.0277,16.1736,5.3167,21.518,0.4089,1.1937,1.6026,4.2194,0,4.2194,22.6,5.6,5.6,"124,017",575,0.103,0,1207000,%
Czechia,6.00E-04,0.134,0.5355,0.6701,5.6937,0.4964,10.983,11.4794,3.3962,0.1139,3.3991,0.0477,4.5289,32.1944,36.7233,0.8945,17.8065,4.7618,23.4628,0.0949,0.9854,1.0803,3.8081,0,3.8081,28.5,<2.5,2,"1,757,821","30,736",0.164,0.003,10716000,%
Denmark,0.001,0.3347,1.1797,1.5154,6.7226,0.8206,15.9557,16.7763,3.1098,0.0369,3.1113,0.1138,5.2431,26.7812,32.0243,1.2415,23.2141,3.6804,28.136,0.1185,0.0915,0.21,2.8728,0,2.8728,21.3,<2.5,2,"389,132","2,715",0.067,0,5829000,%
