,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Italy,0,0.0994,0.7951,0.8945,16.2999,0.6389,3.9188,4.5577,1.9878,0.6957,0.9655,0.7099,1.2069,37.4414,38.6483,2.1014,12.5657,5.0121,19.6792,0.213,9.1722,9.3852,4.4299,0,4.4299,22.9,<2.5,2,"4,767,440","132,074",0.079,0.002,60296000,%
Jamaica,0,0.1451,0.8707,1.0158,16.1255,0.127,2.8297,2.9567,2.5757,0.5079,2.739,0.0363,1.0339,40.5405,41.5744,1.5781,9.4685,3.8999,14.9465,1.0521,4.5892,5.6413,9.269,0,9.269,24.4,8,8,"88,907","2,229",0.032,0.001,2809000,%
Japan,0.0185,0.1298,2.3174,2.4657,19.6329,1.4461,2.0393,3.4854,0.8713,0.2595,1.1123,0.241,1.2792,39.8406,41.1198,0.5562,10.1594,3.6522,14.3678,2.0022,6.7482,8.7504,4.4679,0.0927,4.5606,4.4,<2.5,2,"1,723,327","18,268",0.014,0,125967000,%
Jordan,0,0.0737,0.2211,0.2948,22.0892,0.2395,2.1002,2.3397,1.308,1.1238,0.8106,0.35,1.1422,43.9204,45.0626,0.5527,6.0796,2.8924,9.5247,0.9211,8.6035,9.5246,6.9823,0,6.9823,33.4,12.2,12.2,"860,818","11,028",0.081,0.001,10679000,%
Kazakhstan,0,0.2503,0.1408,0.3911,14.6746,0.5163,6.9775,7.4938,1.627,0.0782,2.9568,0.3442,1.8617,35.8886,37.7503,1.1264,14.1114,5.1001,20.3379,0.2972,7.7441,8.0413,4.1302,0,4.1302,21.3,<2.5,2,"1,018,841","17,078",0.054,0.001,18732000,%
Kenya,0,0.1413,0.1648,0.3061,26.3951,0.0942,3.2494,3.3436,1.3892,3.5555,3.8615,0.1413,0.6122,44.1017,44.7139,0.3532,5.9101,1.8837,8.147,0.4003,3.2964,3.6967,3.6732,0,3.6732,6,29.4,29.4,"253,293","5,276",0.005,0,53528000,%
Kiribati,0,0.0164,2.6014,2.6178,16.9993,0.1309,0.2781,0.409,1.8815,0,3.6649,0.2945,0.5399,44.0609,44.6008,0.2291,5.9555,2.6832,8.8678,10.2912,2.1924,12.4836,7.9188,0,7.9188,45.6,2.7,2.7,,,0,0,125000,%
"Korea, North",0,0.0492,0.4186,0.4678,29.9926,0.4432,0.1477,0.5909,1.6991,2.4871,3.2012,0.0492,2.0192,46.9096,48.9288,0,3.1273,2.0438,5.1711,0.5171,4.5802,5.0973,0.8619,0,0.8619,7.1,47.8,47.8,,,0,0,25779000,%
"Korea, South",0.4007,0.1633,1.6325,2.1965,20.5847,0.6085,0.653,1.2615,1.1279,0.1633,0.564,0.4749,2.4488,40.6649,43.1137,1.2318,9.3351,4.6453,15.2122,1.0834,6.6934,7.7768,5.2983,0,5.2983,4.9,<2.5,2,"364,700","2,849",0.007,0,51781000,%
Kuwait,0,0.1306,0.3048,0.4354,20.4209,1.016,2.9753,3.9913,2.5109,0.8273,1.2337,0.4209,1.7271,40.8418,42.5689,0.5806,9.1727,4.1655,13.9188,0.4644,5.762,6.2264,6.1393,0,6.1393,37,2.8,2.8,"412,653","2,461",0.088,0.001,4691000,%
Kyrgyzstan,0,0.2324,0.0536,0.286,22.8776,0.286,6.5773,6.8633,0.8937,0.9294,3.092,0.3932,2.4844,39.0349,41.5193,0.7507,10.992,3.0742,14.8169,0.0179,2.4307,2.4486,4.3968,0,4.3968,15.4,7.1,7.1,"181,186","2,668",0.027,0,6594000,%
Lao People's Democratic Republic,0,0.1313,0.7877,0.919,29.488,0.1149,0.1477,0.2626,4.1516,0.4102,2.4614,0.0164,2.0348,45.2248,47.2596,0.6072,4.7916,2.9865,8.3853,1.1815,1.4605,2.642,1.5425,0.4431,1.9856,4.5,16.5,16.5,"39,586",62,0.005,0,7242000,%
Latvia,0,0.1578,0.8364,0.9942,14.7546,0.7417,4.9235,5.6652,1.1835,0.0158,3.5821,0.3787,1.3413,34.5905,35.9318,3.8504,15.4174,4.8919,24.1597,0.284,4.7972,5.0812,4.0713,0,4.0713,25.7,<2.5,2,"217,339","3,237",0.114,0.002,1902000,%
Lebanon,0,0.0521,0.2779,0.33,21.3268,0.1389,2.1709,2.3098,2.0841,1.042,1.4415,1.0247,1.5283,44.6162,46.1445,0.6078,5.4012,2.1362,8.1452,0.9899,7.5547,8.5446,6.6342,0,6.6342,31.3,11,11,"641,339","8,495",0.094,0.001,6825000,%
Lesotho,0,0.2192,0.0877,0.3069,34.6044,0.0657,0.9424,1.0081,0.4602,1.819,2.3011,0,0.3726,46.3073,46.6799,0.0877,3.7037,2.3011,6.0925,0.1753,2.7613,2.9366,2.7175,0,2.7175,13.5,13.1,13.1,"21,634",658,0.01,0,2142000,%
Liberia,0,0.1173,0.258,0.3753,25.2814,0.0938,0.1407,0.2345,1.6886,0.1642,8.0675,0.1173,0.469,47.1857,47.6547,0.0938,2.7908,2.0872,4.9718,0.5394,8.3724,8.9118,1.4775,0.1642,1.6417,8.6,37.2,37.2,"5,812",287,0.001,0,5058000,%
Lithuania,0,0.1316,0.9651,1.0967,15.7187,0.8481,5.0592,5.9073,1.1698,1.2867,1.3306,0.3217,0.9943,34.5518,35.5461,2.6612,15.4409,5.7757,23.8778,0.3071,3.5093,3.8164,6.1705,0,6.1705,28.4,<2.5,2,"406,095","5,833",0.145,0.002,2794000,%
Luxembourg,0,0.1049,0.8246,0.9295,11.979,0.9595,5.1574,6.1169,2.069,0.1049,1.2294,0.075,1.3043,32.5937,33.898,2.3988,17.4063,7.961,27.7661,0.2999,3.8681,4.168,4.048,0,4.048,24.2,<2.5,2,"81,683",843,0.129,0.001,632000,%
Madagascar,0,0.1314,0.2627,0.3941,31.2401,0.0525,1.051,1.1035,1.4714,0.762,7.9874,0.0263,0.289,46.4792,46.7682,0.1839,3.5208,1.8129,5.5176,0.2102,1.7341,1.9443,2.207,0.1051,2.3121,4.5,44.4,44.4,"43,626",963,0.002,0,27691000,%
Malawi,0,0.1322,0.3399,0.4721,23.3428,0.0755,0.1322,0.2077,3.0784,2.8706,11.4259,0.0378,0.5855,45.9868,46.5723,0.4344,4.0038,2.9084,7.3466,1.3598,1.322,2.6818,1.5297,0,1.5297,4.7,17.5,17.5,"61,794","2,300",0.003,0,19130000,%
Malaysia,0,0.0344,1.7532,1.7876,21.5194,1.2204,1.2375,2.4579,0.9969,0.4469,0.6875,0.1375,1.0141,41.2169,42.231,0.4297,8.7831,4.0908,13.3036,0.636,7.5284,8.1644,7.0299,0,7.0299,15.3,2.5,2.5,"2,466,663","28,876",0.075,0.001,32781000,%
Maldives,0,0,4.4183,4.4183,22.5577,0.9991,3.8854,4.8845,2.1314,0.1776,0.8215,1.421,1.532,37.8996,39.4316,0.9325,12.1226,1.8872,14.9423,0.3552,0.9325,1.2877,5.373,0.0444,5.4174,7.9,10.3,10.3,"87,487",243,0.162,0,541000,%
Mali,0,0.171,0.2394,0.4104,32.9116,0.0342,3.2997,3.3339,0.8719,1.59,1.4532,0.359,1.0429,44.2811,45.324,0.2223,5.7446,1.7439,7.7108,0.8548,2.5645,3.4193,1.7781,0,1.7781,7.1,6.3,6.3,"16,038",563,0.001,0,20251000,%
Malta,0,0.0578,0.9392,0.997,15.8937,0.6791,5.2016,5.8807,1.5749,0.5202,1.127,0.4479,2.0517,35.7896,37.8413,2.0373,14.2031,5.2883,21.5287,0.578,2.8464,3.4244,7.5278,0,7.5278,31,<2.5,2,"37,637",461,0.072,0.001,522000,%
Mauritania,0,0.2111,0.3343,0.5454,26.6186,0.1583,4.0816,4.2399,0.6334,1.6538,0.3343,0,0.5102,42.6284,43.1386,0.4046,7.3716,2.1992,9.9754,0.1759,6.0873,6.2632,6.3512,0,6.3512,11.3,10.4,10.4,"37,275",795,0.008,0,4650000,%
Mauritius,0,0.0639,0.8153,0.8792,23.1974,0.3517,2.462,2.8137,0.9273,1.4069,0.6235,0.0959,0.9113,42.6539,43.5652,0.4157,7.3381,3.2294,10.9832,0.5755,8.4732,9.0487,4.6203,0,4.6203,11.5,6.5,6.5,"17,698",166,0.014,0,1265000,%
Mexico,0,0.2453,0.4293,0.6746,21.5118,1.0733,2.5912,3.6645,1.6713,1.5486,0.506,0.23,0.8433,39.7117,40.555,0.9046,10.2729,5.0445,16.222,0.4446,4.4772,4.9218,6.9917,0,6.9917,28.4,3.6,3.6,"3,805,765","288,276",0.03,0.002,127792000,%
Mongolia,0,0.8015,0.0211,0.8226,18.7724,0.3375,6.6231,6.9606,0.3375,0.0844,1.2234,0.0422,0.7382,29.6351,30.3733,2.0038,20.3754,10.5674,32.9466,0.0633,2.9319,2.9952,2.9319,0,2.9319,19.6,13.4,13.4,"359,396","1,734",0.107,0.001,3361000,%
Montenegro,0,0.1437,0.3591,0.5028,16.1184,0.6608,8.1023,8.7631,2.3416,0.6177,0.7039,0.3591,1.0918,32.3804,33.4722,1.3935,17.6268,6.9674,25.9877,0.2729,3.0599,3.3328,4.7694,0,4.7694,24.9,<2.5,2,"143,785","2,100",0.231,0.003,622000,%
Morocco,0,0.1183,0.6213,0.7396,29.4675,0.3402,1.0651,1.4053,2.0562,0.6509,1.4053,0.429,1.0799,45.1331,46.213,0.6361,4.8669,2.0858,7.5888,0.1479,4.068,4.2159,5.4142,0,5.4142,25.6,3.4,3.4,"945,960","14,667",0.026,0,35952000,%
Mozambique,0,0.0651,0.4556,0.5207,21.957,0.1519,0.6943,0.8462,0.8679,2.6036,14.1679,0.1736,0.4339,47.1035,47.5374,0.1736,2.9074,1.3886,4.4696,0.2821,3.9705,4.2526,2.148,0,2.148,6,27.9,27.9,"151,270","1,930",0.005,0,31166000,%
Myanmar,0,0.1481,2.0548,2.2029,23.4358,0.3887,1.1107,1.4994,1.3514,2.6287,0.722,0.4258,1.2403,39.1151,40.3554,0.8145,10.8663,6.368,18.0488,1.7771,3.3321,5.1092,3.5542,0,3.5542,5.7,10.6,10.6,"499,321","18,664",0.009,0,54704000,%
Namibia,0,0.1645,0.4523,0.6168,18.7294,0.1028,2.1998,2.3026,1.1308,1.6036,7.2368,0.0411,0.4523,43.4622,43.9145,0.7607,6.5173,2.8577,10.1357,0.2673,5.222,5.4893,5.7155,0,5.7155,15,27.3,27.3,"128,906","3,552",0.051,0.001,2541000,%
Nepal,0,0.1046,0.0872,0.1918,30.7115,0.1395,1.9358,2.0753,1.4475,1.9881,2.7206,0.1744,1.5347,46.2156,47.7503,0.6278,3.767,0.872,5.2668,0.1221,4.918,5.0401,0.9069,0.593,1.4999,3.8,8.7,8.7,"812,194","11,399",0.027,0,29996000,%
Netherlands,0,0.0616,0.7234,0.785,11.4822,0.8465,6.7877,7.6342,2.6936,0.2309,2.2626,0.6772,1.2621,33.477,34.7391,2.3549,16.5307,5.7411,24.6267,0.1847,5.5872,5.7719,6.5877,0,6.5877,23.1,<2.5,2,"2,163,794","18,836",0.124,0.001,17467000,%
New Caledonia,0,0.1272,0.8544,0.9816,15.9607,0.6362,3.7448,4.381,1.6906,0.2545,1.2543,0.1272,0.9998,36.6661,37.6659,1.4361,13.343,6.5261,21.3052,1.7633,6.4716,8.2349,4.272,0,4.272,NA,7.1,7.1,,,0,0,295000,%
New Zealand,0,0.095,0.6653,0.7603,14.4781,0.6336,2.2968,2.9304,1.6632,0.5227,1.5524,0.5544,1.1088,34.8804,35.9892,4.562,15.1117,6.8747,26.5484,0.8871,3.3581,4.2452,8.8706,0,8.8706,32,<2.5,2,"6,429",28,0.001,0,4987000,%
Nicaragua,0,0.1141,0.2283,0.3424,25.0904,0.3614,2.6441,3.0055,1.2174,2.3778,0.856,0,0.5326,43.6751,44.2077,0.5136,6.3344,2.4729,9.3209,0.5707,4.1469,4.7176,7.8181,0,7.8181,21.8,17,17,"16,422",208,0.002,0,6596000,%
Niger,0,0.1163,0.0775,0.1938,31.0585,0.0194,1.6479,1.6673,0.8337,6.3009,0.6979,0,1.6673,46.5878,48.2551,0.4847,3.4122,1.0857,4.9826,3.2571,1.8806,5.1377,0.6786,0,0.6786,4.7,16.5,16.5,"6,339",212,0,0,24189000,%
Nigeria,0,0.0406,0.345,0.3856,21.5953,0.1624,0.2233,0.3857,1.441,1.9687,12.259,0.1827,1.096,48.3864,49.4824,0.1421,1.6237,0.6901,2.4559,1.2381,5.3379,6.576,1.6034,0,1.6034,7.8,13.4,13.4,"211,887","2,895",0.001,0,206140000,%
North Macedonia,0,0.1834,0.1834,0.3668,16.6889,0.3501,3.5178,3.8679,2.1507,0.7836,1.8673,0.4335,2.7342,40.5802,43.3144,2.1841,9.4365,2.9843,14.6049,0.8003,6.6022,7.4025,6.3021,0,6.3021,23.9,3.2,3.2,"202,203","7,121",0.097,0.003,2080000,%
Norway,0,0.0739,1.5516,1.6255,14.0092,0.665,5.0392,5.7042,1.862,0.8275,1.4334,0.4286,0.8423,34.4318,35.2741,2.5713,15.5904,5.6746,23.8363,0.8867,5.9997,6.8864,4.1673,0,4.1673,25,<2.5,2,"206,653",900,0.038,0,5387000,%
Oman,0,0.1365,0.7847,0.9212,19.7544,0.5288,4.7083,5.2371,6.8918,0.6482,0.8188,0.1876,1.7059,39.9522,41.6581,0.5629,10.0478,3.3095,13.9202,0.3241,4.06,4.3841,4.5036,0,4.5036,22.9,6.8,6.8,"304,241","4,111",0.065,0.001,4713000,%
Pakistan,0,0.1289,0.0645,0.1934,23.3348,0.2793,6.9618,7.2411,0.6446,1.3537,0.7091,0.1289,0.4942,38.5045,38.9987,2.514,11.474,1.5471,15.5351,0.6446,5.2858,5.9304,5.2213,0.2793,5.5006,7.8,20.3,20.3,"1,273,078","28,449",0.006,0,220940000,%
Panama,0,0.1937,0.5986,0.7923,21.2852,0.3873,3.257,3.6443,2.3944,0.8803,0.6866,0.1408,0.4577,39.2958,39.7535,2.3063,10.7042,3.9613,16.9718,0.6514,4.0317,4.6831,6.1972,0,6.1972,22.5,10,10,"472,534","7,315",0.11,0.002,4283000,%
Paraguay,0,0.3285,0.146,0.4745,15.8241,0.7848,2.3362,3.121,1.1316,1.4054,7.1181,0,0.6023,40.6279,41.2302,1.1863,9.3813,4.5811,15.1487,0.8213,6.2968,7.1181,5.0192,0,5.0192,19,10.7,10.7,"460,974","16,245",0.064,0.002,7255000,%
Peru,0,0.2709,0.8848,1.1557,21.2893,0.5778,1.8599,2.4377,3.485,1.4987,6.7895,0.0542,1.1195,44.2037,45.3232,0.1806,5.7963,2.0224,7.9993,0.7584,3.1239,3.8823,4.2615,0,4.2615,19.1,9.7,9.7,"2,200,908","200,217",0.067,0.006,32824000,%
Philippines,0,0.187,0.9723,1.1593,28.5153,0.2992,0.4301,0.7293,2.6178,0.2244,1.6268,0.187,0.9162,42.2775,43.1937,1.3837,7.7225,4.4503,13.5565,0.5423,2.1503,2.6926,4.0763,0,4.0763,6,13.3,13.3,"2,783,896","43,044",0.025,0,109581000,%
Poland,0,0.0142,0.5106,0.5248,16.0545,0.3687,3.2194,3.5881,1.0637,0.2695,2.6521,0.1702,1.2055,35.3992,36.6047,4.1413,14.6079,6.3537,25.1029,0.2127,4.5242,4.7369,6.2544,0,6.2544,25.6,<2.5,2,"3,018,100","76,990",0.079,0.002,38368000,%
Portugal,0,0.1862,1.3606,1.5468,13.9072,0.4726,3.8098,4.2824,2.3203,0.4583,1.7617,0.401,1.4179,34.5889,36.0068,3.6379,15.4111,5.9439,24.9929,0.1862,6.6457,6.8319,3.6236,0,3.6236,23.2,<2.5,2,"1,089,888","18,156",0.106,0.002,10255000,%
Republic of Moldova,0,0.167,0.4803,0.6473,21.3823,0.6264,5.5753,6.2017,1.1485,0.1462,1.754,0.0418,1.1693,37.6905,38.8598,1.7958,12.299,3.6542,17.749,0.0835,4.7818,4.8653,4.6356,0,4.6356,20.1,NA,NA,"337,115","7,751",0.095,0.002,3535000,%
Romania,0,0.1419,0.1703,0.3122,17.849,0.7946,6.101,6.8956,1.7877,0.2838,2.5965,0.2554,1.8161,36.8473,38.6634,2.1708,13.1527,3.7741,19.0976,0.2128,5.0936,5.3064,4.0153,0,4.0153,24.5,<2.5,2,"1,640,607","47,324",0.085,0.002,19241000,%
Russian Federation,0,0.1785,0.6992,0.8777,16.7361,0.9075,4.0167,4.9242,1.1306,0.357,3.0646,0.0446,1.1604,37.2359,38.3963,2.1273,12.7641,4.8349,19.7263,0.2827,5.3109,5.5936,6.8432,0,6.8432,25.7,<2.5,2,,,0,0,146733000,%
Rwanda,0,0.0903,0.3161,0.4064,9.4378,0.0226,0.8806,0.9032,8.8056,7.5638,16.5049,0,0.4741,47.6406,48.1147,0.1129,2.3707,0.9257,3.4093,0.7902,1.6934,2.4836,1.4224,0,1.4224,4.8,36.8,36.8,"99,681","1,328",0.008,0,12952000,%
Saint Kitts and Nevis,0,0.1988,0.9541,1.1529,13.3969,0.318,3.5778,3.8958,2.2262,1.0733,1.2522,0.2186,0.5367,35.7185,36.2552,1.6498,14.2715,7.5929,23.5142,1.2324,6.5196,7.752,6.778,0,6.778,23.1,NA,NA,"2,669",23,0.049,0,54000,%
Saint Lucia,0,0.2632,1.2218,1.485,15.3571,0.2444,2.9323,3.1767,2.0113,1.109,1.2406,0.188,0.7895,35.3571,36.1466,1.0526,14.6429,8.9286,24.6241,0.8647,2.6692,3.5339,7.4436,0,7.4436,19.8,NA,NA,"12,559",255,0.069,0.001,182000,%
Saint Vincent and the Grenadines,0,0.1182,0.5574,0.6756,17.0777,0.2872,2.3986,2.6858,3.5473,1.3345,2.348,0.1351,0.9291,39.7804,40.7095,0.2703,10.2196,6.5878,17.0777,0.2534,3.6655,3.9189,7.027,0,7.027,23.8,5.7,5.7,"4,951",66,0.045,0.001,111000,%
Samoa,0.0336,0.1176,1.7479,1.8991,9.6134,0.1513,1.4286,1.5799,3.8992,0,4.7395,0.0336,0.3193,36.5378,36.8571,2,13.4454,7.9832,23.4286,9.0924,3.4454,12.5378,4.1849,0,4.1849,45.5,2.7,2.7,,,0,0,2.00E+05,%
Sao Tome and Principe,0,0.0207,1.1585,1.1792,18.5974,0.0414,0.6206,0.662,8.854,0.7447,2.379,0,0.2689,46.3591,46.628,0.1862,3.6409,1.6343,5.4614,6.6198,4.6752,11.295,3.2685,0,3.2685,10.6,7,7,"3,712",56,0.018,0,210000,%
Saudi Arabia,0,0.0782,0.3286,0.4068,23.4585,0.4069,2.6448,3.0517,3.2707,0.7825,0.5321,0.266,0.7668,42.41,43.1768,0.7825,7.59,3.349,11.7215,0.2347,7.2457,7.4804,4.6479,0,4.6479,35,7.1,7.1,"548,571","8,793",0.016,0,35041000,%
Senegal,0,0.0957,0.5934,0.6891,30.5896,0.1149,0.4786,0.5935,0.4594,0.7466,1.1485,0.1149,1.1485,47.2435,48.392,0.1914,2.7565,1.2634,4.2113,1.2825,8.2312,9.5137,3.2351,0,3.2351,7.4,11.3,11.3,"73,917","1,878",0.004,0,16744000,%
Serbia,0,0.214,0.2318,0.4458,20.0428,0.6419,4.6541,5.296,2.1041,0.4458,1.2482,0.2853,1.2126,36.8581,38.0707,1.1056,13.1419,6.2946,20.5421,0.3923,2.6748,3.0671,5.2247,0,5.2247,23.5,5.7,5.7,"1,137,820","9,890",0.164,0.001,6957000,%
Sierra Leone,0,0.0612,0.8777,0.9389,27.5362,0.1021,0.8777,0.9798,0.8573,1.7759,7.0831,0.2041,0.694,47.377,48.071,0.0408,2.6128,0.6736,3.3272,1.2656,6.5932,7.8588,1.0206,0,1.0206,7.5,25.6,25.6,"6,397",121,0.001,0,7977000,%
Slovakia,0,0.1806,0.325,0.5056,10.6717,0.9029,2.9614,3.8643,1.2459,0.2347,1.6974,0.2709,0.8487,33.4597,34.3084,7.8007,16.5403,4.3698,28.7108,0.5237,10.2022,10.7259,4.1712,0,4.1712,22.4,3.4,3.4,"479,737","13,018",0.088,0.002,5462000,%
Slovenia,0,0.1564,0.3442,0.5006,18.0069,0.6101,4.3492,4.9593,2.6596,0.2972,1.5019,0.6414,1.1108,36.3892,37.5,3.5357,13.6108,4.5995,21.746,0.3755,4.6308,5.0063,3.4731,0,3.4731,22.5,<2.5,2,"334,188","4,739",0.159,0.002,2103000,%
Solomon Islands,0,0.0415,1.3483,1.3898,16.7393,0.083,0.3941,0.4771,1.1201,1.8876,16.8845,0.0622,0.2074,45.8411,46.0485,0.6638,4.1693,1.6179,6.451,4.2315,2.1987,6.4302,1.7424,0,1.7424,20.5,8.9,8.9,,,0,0,715000,%
South Africa,0,0.2839,0.1837,0.4676,25.9977,0.4341,1.3692,1.8033,0.5176,0.2672,1.0519,0.0334,0.6011,42.3777,42.9788,0.2171,7.614,5.1428,12.9739,0.4508,5.2763,5.7271,5.6938,0,5.6938,27,6.2,6.2,"2,921,886","89,163",0.049,0.001,59628000,%
Spain,0,0.1376,1.2999,1.4375,11.9896,0.8105,3.9456,4.7561,1.8351,0.7035,1.5905,0.7035,1.4834,36.8252,38.3086,1.0093,13.1824,5.9642,20.1559,0.5353,10.3839,10.9192,4.8173,0,4.8173,27.1,<2.5,2,"5,011,148","87,368",0.105,0.002,47635000,%
Sri Lanka,0,0.0574,1.1864,1.2438,26.9805,0.3253,1.5308,1.8561,1.5499,1.7604,1.3203,0.1722,0.9759,46.2304,47.2063,0.0574,3.7696,0.6123,4.4393,5.7788,1.129,6.9078,5.377,0,5.377,5.4,9,9,"539,981","13,725",0.025,0.001,21937000,%
Sudan,0,0.185,0.0411,0.2261,22.8319,0.1028,4.7267,4.8295,2.3839,2.0756,0.8837,0,1.3152,42.0263,43.3415,0.4316,7.9737,2.4866,10.8919,1.2125,4.7061,5.9186,6.3296,0.1233,6.4529,7.4,20.1,20.1,"40,433",3099,0.001,0,43849000,%
Suriname,0,0.0371,0.594,0.6311,20.8094,0.4084,1.1138,1.5222,2.5617,0.3527,1.188,0.0557,1.1138,43.7906,44.9044,0.2042,6.2001,3.8426,10.2469,1.0581,6.8127,7.8708,7.5924,0.0557,7.6481,26.5,8.5,8.5,"48,964","1,090",0.081,0.002,605000,%
Sweden,0,0.0155,0.9161,0.9316,13.7733,0.823,5.7609,6.5839,1.5839,0.2484,1.5373,0.4503,1.0714,33.4938,34.5652,3.7422,16.4907,5.2484,25.4813,0.4658,6.1801,6.6459,5.264,0,5.264,22.1,<2.5,2,"1,171,512","15,025",0.113,0.001,10377000,%
Switzerland,0,0.1172,0.4395,0.5567,11.7492,0.586,5.7867,6.3727,1.9338,0.249,1.0841,0.9522,0.9962,34.4711,35.4673,2.4172,15.5435,6.1822,24.1429,0.2783,6.695,6.9733,7.8963,0,7.8963,21.2,<2.5,2,"872,558","11,233",0.101,0.001,8634000,%
Taiwan*,0,0.1008,0.7559,0.8567,15.4208,0.9071,1.1423,2.0494,2.083,0.42,0.4536,0.7055,1.8478,39.0391,40.8869,1.0415,10.9525,6.9881,18.9821,1.915,9.4742,11.3892,4.8715,0.0504,4.9219,NA,3.5,3.5,"16,406",847,0.001,0,23610000,%
Tajikistan,0,0.1664,0.0238,0.1902,27.4132,0.214,2.3776,2.5916,1.5216,0.5944,1.379,0.1189,3.3524,44.8407,48.1931,0,5.1831,2.3776,7.5607,0.4042,5.4922,5.8964,3.8992,0,3.8992,12.6,NA,NA,"17,486",125,0.002,0,9429000,%
Thailand,0,0.0707,1.1496,1.2203,23.1871,0.902,0.849,1.751,1.8394,0.4245,1.0612,0.1061,0.5837,43.5975,44.1812,0.336,6.4025,3.0775,9.816,1.3265,4.0679,5.3944,7.729,0,7.729,10.8,7.8,7.8,"1,903,165","19,158",0.029,0,66534000,%
Timor-Leste,0,0.0701,0.374,0.4441,32.7256,0.0701,0.1169,0.187,0.6078,1.5428,2.4778,0,0.4441,44.9743,45.4184,0.3974,5.0491,3.9972,9.4437,0.9818,2.9687,3.9505,2.5245,0,2.5245,2.9,24.9,24.9,"19,789",122,0.015,0,1318000,%
Togo,0,0.0412,0.3911,0.4323,23.2812,0.0618,0.3088,0.3706,0.2058,3.0259,10.5599,0,0.3911,47.9621,48.3532,0.1029,2.0379,1.1116,3.2524,0.8234,6.2577,7.0811,2.8201,0,2.8201,7.1,16.1,16.1,"26,068",242,0.003,0,8279000,%
Trinidad and Tobago,0,0.0986,0.7067,0.8053,18.4224,0.2629,2.9088,3.1717,1.249,1.4297,1.1997,0.1972,0.6738,40.0164,40.6902,1.3969,9.9918,4.6343,16.023,1.0682,4.7658,5.834,9.1537,0,9.1537,19.7,5.5,5.5,"57,121","1,682",0.042,0.001,1369000,%
Tunisia,0,0.0721,0.3462,0.4183,23.9579,0.3894,2.6107,3.0001,1.9472,1.0097,0.8654,0.7356,2.3655,44.2233,46.5888,0.6779,5.7984,1.6876,8.1639,0.5193,7.0676,7.5869,5.0483,0,5.0483,27.3,4.3,4.3,"712,318","25,231",0.06,0.002,11896000,%
Turkey,0,0.0706,0.1271,0.1977,19.2938,0.4237,3.9266,4.3503,2.2881,1.7232,1.2853,1.0734,2.1751,42.4011,44.5762,0.9322,7.5989,2.1328,10.6639,0.6921,8.7571,9.4492,4.3644,0,4.3644,32.2,<2.5,2,"8,009,010","70,410",0.096,0.001,83737000,%
Turkmenistan,0,0.0522,0.1045,0.1567,27.4025,0.4701,4.335,4.8051,1.3231,0.2263,1.0097,0.0696,1.532,36.8558,38.3878,1.7409,13.1267,6.4415,21.3091,0.1393,3.1337,3.273,1.3057,0,1.3057,17.5,5.4,5.4,,,0,0,6031000,%
Uganda,0,0.0932,0.4895,0.5827,13.8462,0.0699,1.5152,1.5851,6.6667,5.5711,8.7413,0,0.4895,46.1538,46.6433,0.1865,3.8462,1.4918,5.5245,1.7016,4.6154,6.317,2.6573,0,2.6573,4.1,41,41,"126,075",3215,0.003,0,45741000,%
Ukraine,0,0.1153,0.3459,0.4612,20.0791,0.9059,3.8379,4.7438,1.153,0.2965,3.9697,0.2141,1.8119,40.1087,41.9206,1.2848,9.8831,3.3767,14.5446,0.0329,4.0521,4.085,6.7699,0,6.7699,26.1,3.5,3.5,"3,039,616","71,710",0.073,0.002,41778000,%
United Arab Emirates,0,0.1188,0.6089,0.7277,20.9268,0.4307,3.0744,3.5051,2.614,3.7576,0.3862,1.1585,1.411,41.1407,42.5517,0.9505,8.8519,3.6834,13.4858,0.9505,3.5051,4.4556,5.4953,0,5.4953,29.9,2.6,2.6,"739,824","2,136",0.076,0,9778000,%
United Kingdom,0,0.1021,0.5251,0.6272,13.4189,0.6272,4.8425,5.4697,1.9837,0.5105,2.5817,0.3209,1.0064,35.7789,36.7853,1.5607,14.2211,6.5636,22.3454,0.5543,6.6657,7.22,5.3092,0,5.3092,29.5,<2.5,2,"9,062,710","140,981",0.135,0.002,67160000,%
United Republic of Tanzania,0,0,0.2922,0.2922,20.409,0.0209,1.1895,1.2104,2.5042,4.8831,7.5751,0.0835,0.6469,47.2663,47.9132,0.313,2.7337,0.9182,3.9649,2.2329,5.3631,7.596,2.4207,0,2.4207,7.1,30.7,30.7,"26,154",725,0,0,59734000,%
