,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Bosnia and Herzegovina,0,0.1071,0.1836,0.2907,21.233,0.2907,4.8799,5.1706,1.8969,0.7802,2.264,0.2601,2.264,40.9515,43.2155,0.5507,9.0561,3.0289,12.6357,0.306,2.9524,3.2584,3.0289,0,3.0289,19.4,<2.5,2,"252,758","11,495",0.077,0.004,3281000,%
Botswana,0,0.2137,0.1923,0.406,22.3932,0.1068,4.6795,4.7863,1.0256,0.5769,2.6709,0.0427,0.641,41.8803,42.5213,1.047,8.1197,1.8803,11.047,0.4915,5.4915,5.983,5.9402,0,5.9402,16.1,26.4,26.4,"186,594","2,406",0.081,0.001,2317000,%
Brazil,0,0.1077,0.2309,0.3386,14.5913,0.4464,3.7402,4.1866,1.7239,2.0317,1.7854,0.077,0.5541,36.8016,37.3557,1.5238,13.2061,7.1571,21.887,0.7234,7.2033,7.9267,6.326,0.1847,6.5107,22.3,<2.5,2,"21,804,094","607,694",0.103,0.003,211812000,%
Bulgaria,0,0.2653,0.2829,0.5482,17.931,0.5836,4.3855,4.9691,1.7683,0.3537,0.9019,0.1415,0.8665,37.7188,38.5853,2.458,12.29,4.3148,19.0628,0.6366,5.252,5.8886,4.6508,0,4.6508,27.4,3.6,3.6,"601,035","23,918",0.087,0.003,6927000,%
Burkina Faso,0,0.0919,0.2574,0.3493,31.6051,0.1471,1.0112,1.1583,0.1471,2.4269,0.478,0.0735,0.2022,47.1962,47.3984,0.1287,2.7946,1.1583,4.0816,3.6771,4.2103,7.8874,1.765,0,1.765,4.5,20,20,"14,793",214,0.001,0,20903000,%
Cabo Verde,0,0.0795,0.3976,0.4771,23.8171,0.338,3.2207,3.5587,1.4513,2.2068,1.8887,0.0596,1.1332,41.4712,42.6044,1.0537,8.5288,3.4394,13.0219,0.4374,4.493,4.9304,3.6183,0,3.6183,10.6,12.6,12.6,"38,207",349,0.069,0.001,556000,%
Cambodia,0,0.0809,1.7792,1.8601,33.0166,0.1011,0.2022,0.3033,0.647,0.93,1.6983,0.0404,0.3639,45.9361,46.3,0.1011,4.0437,1.7792,5.924,1.8601,1.3142,3.1743,4.1852,0.1415,4.3267,3.5,16.4,16.4,"118,427","2,781",0.008,0,15497000,%
Cameroon,0,0.0565,0.5464,0.6029,20.5201,0.0188,0.4145,0.4333,3.5048,3.5613,8.1213,0.3203,1.3755,47.8236,49.1991,0.1507,2.1669,0.9987,3.3163,2.3931,4.1455,6.5386,1.6017,0,1.6017,9.5,9.9,9.9,"102,499","1,686",0.004,0,26598000,%
Canada,0,0.0143,0.5297,0.544,13.0279,0.7731,2.6199,3.393,1.8182,1.5748,1.5175,0.587,1.088,37.2942,38.3822,3.9656,12.6986,4.796,21.4602,1.3171,7.9599,9.277,6.199,0,6.199,31.3,<2.5,2,"1,721,419","29,016",0.045,0.001,38190000,%
Central African Republic,0,0.3412,0.4265,0.7677,8.9565,0.0569,0.8814,0.9383,1.905,2.2747,19.6759,0,0.3128,42.5931,42.9059,0.7393,7.3927,4.9758,13.1078,2.3031,4.8052,7.1083,1.706,0,1.706,6.3,59.6,59.6,"11,518",100,0.002,0,4830000,%
