Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Cyprus,1.9808,7.0646,8.849,6.198,0.211,1.7705,0.1781,41.2079,21.518,1.6026,4.2194,22.6,5.6,124017,575,0.103,0,1207000
Czechia,0.6701,5.6937,11.4794,3.3962,0.1139,3.3991,0.0477,36.7233,23.4628,1.0803,3.8081,28.5,2,1757821,30736,0.164,0.003,10716000
Denmark,1.5154,6.7226,16.7763,3.1098,0.0369,3.1113,0.1138,32.0243,28.136,0.21,2.8728,21.3,2,389132,2715,0.067,0,5829000
Djibouti,0.6848,20.2702,3.036,3.2735,1.5724,1.8633,0.0406,54.2219,7.3222,1.6721,4.2005,12.2,18.9,13478,181,0.014,0,988000
Dominica,1.5407,3.4014,4.5461,19.3028,0.2255,6.8477,0.0035,45.736,11.715,1.4855,3.1738,28.2,6.2,4783,32,0.066,0,72000
Dominican Republic,0.8632,6.9232,6.7647,18.4431,0.5881,2.0198,0.0108,41.4962,14.8548,2.4343,2.1332,26.9,9.5,57470,1091,0.005,0,10500000
Ecuador,0.9421,14.9132,10.2647,8.039,0.157,2.2701,0.016,37.1503,19.4861,1.5542,1.737,19.3,7.9,515859,32958,0.029,0.002,17511000
Egypt,1.9014,17.5311,2.9875,6.9387,0.3063,2.6919,0.0268,53.9181,8.5853,1.038,3.8322,31.1,4.5,330084,18592,0.003,0,100803000
El Salvador,0.6524,11.7265,9.4914,5.9517,1.4661,2.2462,0.0155,44.3732,15.633,1.8838,3.526,22.7,9,113422,3622,0.018,0.001,6481000
Estonia,0.8589,6.3498,17.9213,3.5061,0.1472,3.2403,0.0886,32.6337,25.852,0.399,2.3886,23.8,2.9,192092,1516,0.144,0.001,1331000
Eswatini,0.6282,14.7814,4.0877,8.5537,0.3578,5.3187,0.0892,45.1517,10.1059,0.6263,3.1796,13.5,20.6,46413,1242,0.042,0.001,1104000
Ethiopia,0.199,22.0779,4.3241,1.1774,3.0195,11.2918,0.0802,46.5438,6.0694,0.7021,1.317,3.6,20.6,364960,6451,0.003,0,114916000
Fiji,2.5495,10.144,2.0103,2.1636,0.7746,7.8599,0.0157,46.0724,11.1437,5.2482,9.7259,30,3.7,52141,674,0.058,0.001,896000
Finland,1.6403,5.1978,21.2357,3.1864,0.0533,2.7671,0.046,26.9457,30.897,0.3351,1.8388,24.9,2,157531,1158,0.028,0,5529000
France,2.1235,6.9951,14.395,4.878,0.0991,2.6963,0.2093,33.4126,26.9009,1.0154,2.611,23.2,2,7262178,118612,0.112,0.002,64940000
Gabon,2.8336,9.1158,1.0187,9.0341,0.0139,11.8727,0.0051,44.1983,12.5134,1.3333,1.3756,13.4,10.5,35525,239,0.016,0,2231000
Gambia,4.0009,21.8908,5.0175,0.8742,0.1281,0.8614,0.0897,42.2866,11.2665,5.3663,4.1176,8.7,10.2,9965,340,0.004,0,2417000
Georgia,0.8129,15.6253,11.8637,3.1735,0.0025,3.7542,0.1631,38.5629,18.392,0.752,3.311,23.3,7.9,715865,10003,0.193,0.003,3715000
Germany,0.7516,6.0363,14.7736,3.6131,0.0419,3.5712,0.1903,34.1985,26.1724,0.9805,2.507,25.7,2,4608512,95734,0.055,0.001,83300000
Ghana,1.5909,6.323,0.4883,10.4274,0.392,24.6325,0.0364,48.789,3.7113,1.1612,1.0943,9.7,5.5,130077,1175,0.004,0,31073000
Greece,1.2212,7.2801,12.476,6.3296,0.2539,3.1307,0.6676,40.2172,21.6866,2.3349,1.7744,27.4,2,739448,15894,0.069,0.001,10700000
Guatemala,0.4439,15.1579,5.8769,6.7124,1.6504,1.3316,0.198,45.4237,14.4311,1.4023,5.3058,18.8,15.2,601402,15050,0.033,0.001,18066000
Guinea,1.0631,17.2911,1.6372,7.9395,0.3925,11.7958,9.00E-04,50.5488,5.055,2.2777,1.3368,6.6,16.5,30653,385,0.002,0,12560000
Guinea-Bissau,0.378,21.6069,2.2937,6.366,0.2499,8.1087,0.4485,47.4308,7.1873,2.1296,0.7893,8.2,28,6133,141,0.003,0,1927000
Guyana,1.7396,9.7847,4.8315,5.7954,0.3907,1.8384,0.0435,56.0783,11.6598,2.1146,3.2325,19.2,8.1,35548,913,0.045,0.001,787000
Haiti,0.6596,13.4196,0.929,12.0278,2.0067,11.48,0,48.4299,5.6075,1.3571,2.0961,20.5,49.3,23960,671,0.002,0,11403000
Honduras,0.4844,14.1699,9.4755,6.8464,1.3962,0.6796,0.0276,39.0482,17.2506,1.4216,5.9591,19.4,12.9,375381,10239,0.038,0.001,9864000
Hungary,0.4172,7.5908,13.3453,3.0852,0.1906,3.046,0.0183,35.6432,26.2905,0.7893,2.5433,28.6,2,863419,30729,0.088,0.003,9767000
Iceland,4.8374,4.1196,13.5585,4.8405,0.0376,1.9909,0.0752,29.7205,29.543,0.6426,3.9472,23.1,2,13492,33,0.037,0,368000
India,0.681,17.3821,10.295,5.4333,1.5709,2.7906,0.1526,46.1781,11.6945,1.4767,1.7471,3.8,14.5,34273300,458186,0.024,0,1400100000
Indonesia,4.1097,24.3918,1.0854,5.5134,0.0988,4.6343,0.0564,47.5996,7.32,3.0692,1.8481,6.9,8.3,4243835,143388,0.016,0.001,271739000
Iran (Islamic Republic of),0.9238,14.0141,4.0724,7.9235,0.4729,3.2877,0.6421,54.5908,10.8629,0.8246,2.198,25.5,4.9,5916211,126126,0.07,0.001,84150000
Iraq,0.4846,24.0855,3.2369,6.4975,0.4807,1.0842,0.1268,48.6728,8.8403,2.3176,3.3755,27.4,29,2054202,23138,0.052,0.001,39725000
Ireland,1.2778,6.3057,12.4122,3.3996,0.1325,3.5362,0.0836,36.3752,23.4524,0.923,4.0147,26.9,2,443631,5436,0.089,0.001,5003000
Israel,1.672,7.6277,11.473,6.3746,0.364,1.9975,0.2262,40.1058,24.3492,2.1976,1.7747,26.7,2,1327126,8085,0.144,0.001,9216000
Italy,1.7015,8.5417,12.7505,6.0207,0.2781,1.9043,0.423,37.9134,23.6126,1.606,1.7175,22.9,2,4767440,132074,0.079,0.002,60296000
Jamaica,2.0877,8.5031,5.3627,8.0661,0.2177,4.5837,0.011,44.4795,16.5404,1.7574,4.6889,24.4,8,88907,2229,0.032,0.001,2809000
Japan,4.2254,12.1692,6.759,2.8618,0.1287,2.2072,0.0812,42.5445,19.6544,2.1182,2.4335,4.4,2,1723327,18268,0.014,0,125967000
Jordan,0.7382,14.138,4.5981,4.6624,0.6393,2.1431,0.1652,51.3106,13.2999,2.7141,4.7276,33.4,12.2,860818,11028,0.081,0.001,10679000
Kazakhstan,0.5307,6.5119,14.8175,3.2145,0.0255,5.4755,0.0845,41.0449,22.971,1.2369,1.456,21.3,2,1018841,17078,0.054,0.001,18732000
Kenya,0.6439,15.1221,8.9434,4.6941,1.751,7.5828,0.0892,42.9039,13.2905,0.9375,1.8098,6,29.4,253293,5276,0.005,0,53528000
"Korea, South",5.3568,11.7286,1.7808,3.6993,0.072,0.9799,0.1664,50.5159,16.4966,1.7295,2.4841,4.9,2,364700,2849,0.007,0,51781000
Kuwait,1.0334,11.4132,4.8094,5.3058,0.4353,3.2296,0.1512,52.2703,15.6005,1.4759,2.9439,37,2.8,412653,2461,0.088,0.001,4691000
Kyrgyzstan,0.3304,10.1059,13.0661,2.2846,0.3439,5.8068,0.1449,45.8631,17.5205,0.3648,3.2495,15.4,7.1,181186,2668,0.027,0,6594000
Lao People's Democratic Republic,1.58,16.3943,0.2695,8.8158,0.1485,3.4835,0.0028,57.9826,5.4669,0.5733,3.0355,4.5,16.5,39586,62,0.005,0,7242000
Latvia,1.4917,6.3952,12.493,2.5738,0.0032,6.5835,0.0793,37.3703,23.658,0.8097,2.6169,25.7,2,217339,3237,0.114,0.002,1902000
Lebanon,0.7944,11.8253,5.2478,6.9852,0.5011,3.2676,0.5271,52.438,10.0944,1.9859,5.1366,31.3,11,641339,8495,0.094,0.001,6825000
Lesotho,0.6307,23.4645,2.9097,1.8065,1.1603,7.1935,0.0052,47.2709,8.6437,0.7511,2.2079,13.5,13.1,21634,658,0.01,0,2142000
Liberia,1.0075,16.1465,0.3143,5.3606,0.0977,15.3608,0.0779,49.4111,6.199,2.3726,2.304,8.6,37.2,5812,287,0.001,0,5058000
Lithuania,1.6741,6.4732,17.0529,2.4007,0.4388,2.2766,0.055,31.3516,27.3705,0.5791,4.502,28.4,2,406095,5833,0.145,0.002,2794000
Luxembourg,1.7336,5.1366,8.2804,4.4841,0.0399,2.2067,0.0308,40.2374,19.195,0.7288,8.1121,24.2,2,81683,843,0.129,0.001,632000
Madagascar,0.8293,19.9604,2.5801,5.0701,0.3708,14.4675,0.0261,46.974,6.4158,0.4963,1.6774,4.5,44.4,43626,963,0.002,0,27691000
Malawi,0.8665,10.6197,0.3353,8.4723,1.1841,20.2901,0.0161,51.2028,4.3491,0.7476,0.6412,4.7,17.5,61794,2300,0.003,0,19130000
Malaysia,5.4475,17.3088,2.1896,4.1713,0.2617,1.6568,0.0835,43.531,17.6328,2.2137,3.903,15.3,2.5,2466663,28876,0.075,0.001,32781000
Maldives,8.8046,11.5385,3.4577,6.0777,0.0808,1.6403,0.7569,43.4388,16.2784,0.3901,3.0792,7.9,10.3,87487,243,0.162,0,541000
Mali,1.0289,19.8566,7.1779,3.8991,0.7955,2.6772,0.2374,47.1205,12.1205,1.0054,0.8811,7.1,6.3,16038,563,0.001,0,20251000
Malta,1.8686,7.8996,6.926,4.631,0.2197,2.059,0.1236,47.6755,18.425,0.7759,5.2164,31,2,37637,461,0.072,0.001,522000
Mauritania,1.4304,20.4873,10.0789,1.2991,1.0999,1.0168,0,38.9563,18.5314,1.6515,4.3166,11.3,10.4,37275,795,0.008,0,4650000
Mauritius,2.2578,17.1855,2.3076,3.568,0.856,1.8348,0.0369,47.4297,13.9766,2.4969,3.568,11.5,6.5,17698,166,0.014,0,1265000
Mexico,1.3409,11.4325,9.2884,7.6794,0.7071,1.1644,0.1121,39.9169,19.676,0.8803,3.2266,28.4,3.6,3805765,288276,0.03,0.002,127792000
Mongolia,1.1851,10.1415,16.2287,1.0413,0.0366,2.6155,0.0137,28.4372,34.3679,0.5816,1.468,19.6,13.4,359396,1734,0.107,0.001,3361000
Montenegro,0.7618,5.0447,18.5029,5.7297,0.2113,1.1955,0.0948,32.1613,26.3999,0.5123,6.0418,24.9,2,143785,2100,0.231,0.003,622000
Morocco,1.585,18.7029,4.2388,7.211,0.3306,3.4356,0.2549,48.8084,11.1277,1.006,2.6816,25.6,3.4,945960,14667,0.026,0,35952000
Mozambique,1.2205,13.1904,1.8317,2.8312,1.2809,22.2864,0.2011,48.7602,4.971,0.8767,1.0649,6,27.9,151270,1930,0.005,0,31166000
Myanmar,4.2756,16.7608,4.0919,4.0287,1.2806,1.4514,0.2913,43.5532,18.6692,1.7325,2.8592,5.7,10.6,499321,18664,0.009,0,54704000
Namibia,1.2424,9.9189,5.5675,3.1266,0.7298,12.8231,0.0114,42.7426,12.4072,1.0349,3.9857,15,27.3,128906,3552,0.051,0.001,2541000
Nepal,0.3586,18.1511,4.0647,4.7443,0.9107,6.0521,0.0978,53.8346,6.4484,0.8803,3.6147,3.8,8.7,812194,11399,0.027,0,29996000
Netherlands,1.2025,4.9685,18.7521,4.923,0.0852,4.2639,0.1587,28.9546,28.6425,0.9596,2.3446,23.1,2,2163794,18836,0.124,0.001,17467000
New Zealand,1.8216,7.7522,8.1694,4.0202,0.2414,3.3719,0.1499,39.1044,25.1644,0.866,3.8297,32,2,6429,28,0.001,0,4987000
Nicaragua,0.8642,16.8052,9.1017,3.8377,1.3618,1.9118,0.003,40.4164,16.3418,1.2581,5.7021,21.8,17,16422,208,0.002,0,6596000
Niger,0.4044,22.2843,5.4463,2.5503,3.4838,1.3489,0,53.3702,8.6272,1.8779,0.3666,4.7,16.5,6339,212,0,0,24189000
Nigeria,0.7866,10.922,0.3706,4.4268,0.8311,19.5271,0.0841,54.5212,2.3217,1.3336,0.6501,7.8,13.4,211887,2895,0.001,0,206140000
North Macedonia,0.528,7.3937,9.0892,5.0893,0.2847,3.6779,0.1796,52.4842,14.5106,1.2758,2.9104,23.9,3.2,202203,7121,0.097,0.003,2080000
Norway,2.8364,5.9777,14.1421,4.2801,0.3204,2.8097,0.099,32.7064,25.4194,1.181,2.2652,25,2,206653,900,0.038,0,5387000
Oman,2.1993,9.6835,8.2006,9.787,0.2776,1.6984,0.0521,47.3762,16.6203,0.8333,2.598,22.9,6.8,304241,4111,0.065,0.001,4713000
Pakistan,0.3811,14.6224,20.0043,2.4099,0.6993,1.8202,0.0852,29.9399,24.1684,0.6994,4.4622,7.8,20.3,1273078,28449,0.006,0,220940000
Panama,1.2954,14.2627,5.8134,6.6783,0.4129,1.3758,0.036,39.6099,17.5613,1.2234,4.2277,22.5,10,472534,7315,0.11,0.002,4283000
Paraguay,0.7794,7.5639,6.2243,5.4532,0.6185,12.5302,0.0015,42.4373,15.5279,1.3478,2.4084,19,10.7,460974,16245,0.064,0.002,7255000
Peru,2.1636,11.814,4.716,8.5783,0.6367,8.7924,0.023,46.1388,10.4494,0.7524,1.7339,19.1,9.7,2200908,200217,0.067,0.006,32824000
Philippines,2.7223,20.0498,0.4572,8.5466,0.1106,2.8773,0.1838,48.7386,10.2439,0.9544,2.3774,6,13.3,2783896,43044,0.025,0,109581000
Poland,0.6015,7.9033,10.1244,3.0079,0.1099,5.5631,0.0476,40.3045,22.3932,0.4757,2.4775,25.6,2,3018100,76990,0.079,0.002,38368000
Portugal,2.9379,6.2984,10.7989,6.5126,0.1618,3.106,0.2319,38.674,23.5859,0.8211,1.7316,23.2,2,1089888,18156,0.106,0.002,10255000
Romania,0.4438,8.0412,12.0866,4.2115,0.1045,4.713,0.1093,43.432,19.326,0.8275,1.4126,24.5,2,1640607,47324,0.085,0.002,19241000
Rwanda,0.6134,3.538,1.379,15.7285,2.5036,20.4415,0,50.0827,3.2809,0.4342,0.5782,4.8,36.8,99681,1328,0.008,0,12952000
Saint Vincent and the Grenadines,1.5457,9.0142,2.6005,10.471,0.6452,4.3734,0.0357,44.0376,18.0269,0.8276,3.4592,23.8,5.7,4951,66,0.045,0.001,111000
Sao Tome and Principe,2.322,7.3796,0.5714,18.2736,0.3109,3.7154,0.0024,46.7371,5.3473,10.767,2.5939,10.6,7,3712,56,0.018,0,210000
Saudi Arabia,1.1916,16.3284,6.4601,7.0413,0.4768,1.4542,0.1135,42.7062,18.3408,1.9118,2.858,35,7.1,548571,8793,0.016,0,35041000
Senegal,2.2648,25.9204,1.4374,2.3456,0.4712,2.6177,0.1047,52.5374,6.9868,2.6962,2.0941,7.4,11.3,73917,1878,0.004,0,16744000
Serbia,0.6537,9.7485,12.2512,5.9753,0.1805,2.545,0.1268,40.6417,20.5883,0.5966,2.0262,23.5,5.7,1137820,9890,0.164,0.001,6957000
Sierra Leone,2.5901,19.9349,2.3054,3.2119,0.8913,12.4228,0.1,48.8664,6.4781,1.8759,0.6323,7.5,25.6,6397,121,0.001,0,7977000
Slovakia,0.91,5.4026,12.4086,3.5463,0.0973,3.6814,0.1118,35.5832,24.6496,1.6435,5.5166,22.4,3.4,479737,13018,0.088,0.002,5462000
Slovenia,0.8399,7.6345,12.7945,6.4367,0.1106,2.6837,0.1972,36.0794,24.2054,0.6024,2.4915,22.5,2,334188,4739,0.159,0.002,2103000
South Africa,0.9822,17.1035,5.4095,1.9355,0.1546,2.8503,0.0108,41.9186,17.2959,1.4188,4.4677,27,6.2,2921886,89163,0.049,0.001,59628000
Spain,2.4262,6.0548,10.3312,4.8332,0.2666,3.0975,0.4287,39.472,23.9195,1.7772,1.8482,27.1,2,5011148,87368,0.105,0.002,47635000
Sri Lanka,3.121,20.7839,1.5126,4.1171,0.9608,1.9793,0.135,49.3371,6.432,7.383,2.7209,5.4,9,539981,13725,0.025,0.001,21937000
